emp_no,first_name,last_name,title,dept_no,dept_name,hire_date,to_date
10451,Bodh,Ranta,Senior Engineer,d004,Production,1988-03-12,9999-01-01
10453,Tsvetan,Matzel,Staff,d009,Customer Service,1985-04-02,9999-01-01
10463,Ung,Zaiane,Staff,d007,Sales,1987-12-25,9999-01-01
10486,Amstein,Kossowski,Senior Engineer,d006,Quality Management,1987-10-08,9999-01-01
10494,Yakkov,Servieres,Senior Engineer,d004,Production,1986-01-18,9999-01-01
10504,Xiong,Varker,Staff,d007,Sales,1988-12-03,9999-01-01
10512,Udi,Gihr,Staff,d003,Human Resources,1986-01-12,9999-01-01
10522,Marke,Cesareni,Staff,d003,Human Resources,1986-12-12,9999-01-01
10548,Ramalingam,Gunderson,Staff,d001,Marketing,1986-05-04,9999-01-01
10564,Jianhao,Thisen,Senior Engineer,d004,Production,1986-05-08,9999-01-01
10623,Aleksander,Danlos,Senior Engineer,d008,Research,1987-03-07,9999-01-01
10628,Krisda,Krogh,Senior Engineer,d005,Development,1985-09-11,9999-01-01
10631,Inderjeet,Chaudhuri,Engineer,d005,Development,1988-02-16,9999-01-01
10642,Hirochika,Narlikar,Engineer,d005,Development,1986-08-06,9999-01-01
10653,Otmar,Feinberg,Senior Engineer,d005,Development,1987-04-30,9999-01-01
10671,Parviz,Rebaine,Staff,d003,Human Resources,1987-01-08,9999-01-01
10676,Valeri,Danley,Engineer,d005,Development,1986-03-20,9999-01-01
10693,Berhard,Daescu,Staff,d009,Customer Service,1986-01-08,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,d005,Development,1985-07-23,9999-01-01
10718,Adib,Rullman,Senior Engineer,d005,Development,1988-07-21,9999-01-01
10726,Zita,Minakawa,Senior Engineer,d005,Development,1985-09-01,9999-01-01
10734,Sachar,Erdi,Engineer,d004,Production,1985-04-03,9999-01-01
10745,Poorav,Ranze,Senior Engineer,d004,Production,1987-05-26,9999-01-01
10749,King,Brendel,Senior Engineer,d004,Production,1985-09-26,9999-01-01
10767,Monique,Doering,Staff,d007,Sales,1987-06-17,9999-01-01
10768,Ishfaq,Candan,Senior Engineer,d004,Production,1985-07-04,9999-01-01
10778,Selwyn,Merey,Senior Staff,d001,Marketing,1986-07-04,9999-01-01
10791,Tadahiko,Sgarro,Senior Engineer,d005,Development,1988-07-30,9999-01-01
10795,Supot,Naudin,Staff,d007,Sales,1985-05-21,9999-01-01
10808,Chenxi,Leijenhorst,Senior Engineer,d005,Development,1987-03-07,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,d004,Production,1985-07-28,9999-01-01
10836,Jianhua,Leivant,Senior Staff,d009,Customer Service,1985-07-26,9999-01-01
10844,Dipayan,Koprowski,Engineer,d005,Development,1987-03-03,9999-01-01
10847,Theirry,Danley,Staff,d008,Research,1986-07-25,9999-01-01
10848,Fen,Bratsberg,Senior Engineer,d004,Production,1985-04-20,9999-01-01
10878,Lakshmi,Deville,Staff,d007,Sales,1988-02-25,9999-01-01
10879,Muzhong,Chleq,Senior Engineer,d005,Development,1985-08-15,9999-01-01
10883,Shimshon,Champarnaud,Engineer,d004,Production,1987-11-07,9999-01-01
10909,Georgi,Atchley,Senior Engineer,d005,Development,1985-04-21,9999-01-01
10921,Mara,Bahi,Senior Engineer,d004,Production,1986-07-27,9999-01-01
10924,Hironoby,Atchley,Staff,d007,Sales,1988-08-14,9999-01-01
10927,Gal,Scallan,Staff,d001,Marketing,1985-10-26,9999-01-01
10936,Mountaz,Schicker,Staff,d003,Human Resources,1987-10-27,9999-01-01
10943,Berna,Skafidas,Senior Engineer,d005,Development,1988-02-19,9999-01-01
10965,Eckart,Braunschweig,Senior Staff,d007,Sales,1986-07-29,9999-01-01
10969,Premal,Noriega,Senior Engineer,d005,Development,1988-08-22,9999-01-01
10974,Muneo,Papsdorf,Senior Engineer,d005,Development,1985-11-25,9999-01-01
10986,Masako,Schiper,Technique Leader,d005,Development,1985-10-11,9999-01-01
10988,Chinya,Deyuan,Senior Engineer,d005,Development,1985-06-19,9999-01-01
10989,Sumali,Candan,Staff,d002,Finance,1985-07-20,9999-01-01
10990,Shin,Foote,Technique Leader,d005,Development,1988-07-06,9999-01-01
11009,Alper,Axelband,Staff,d007,Sales,1986-09-09,9999-01-01
11012,Taegyun,Speckmann,Staff,d009,Customer Service,1986-12-28,9999-01-01
11019,Leon,Huttel,Senior Engineer,d005,Development,1985-02-04,9999-01-01
11021,Srinidhi,Henders,Staff,d008,Research,1985-05-24,9999-01-01
11027,Remzi,Cappello,Senior Engineer,d004,Production,1986-05-07,9999-01-01
11031,Ottavia,Walstra,Staff,d001,Marketing,1985-04-26,9999-01-01
11037,Lansing,Maliniak,Senior Engineer,d004,Production,1988-01-28,9999-01-01
11038,Jinya,Beidas,Staff,d008,Research,1985-07-15,9999-01-01
11042,Gou,Breugel,Senior Engineer,d005,Development,1988-06-26,9999-01-01
11048,Jaques,Demke,Senior Staff,d007,Sales,1985-02-26,9999-01-01
11050,Elvis,Katiyar,Staff,d001,Marketing,1986-05-06,9999-01-01
11051,Przemyslawa,Erol,Senior Engineer,d004,Production,1985-08-09,9999-01-01
11070,Adib,Raney,Senior Engineer,d006,Quality Management,1985-07-24,9999-01-01
11081,Barry,Boyle,Staff,d002,Finance,1985-06-17,9999-01-01
11085,Hailing,Thummel,Senior Engineer,d004,Production,1986-11-27,9999-01-01
11100,Berna,Cochrane,Staff,d008,Research,1986-10-13,9999-01-01
11106,Aris,Iwayama,Senior Engineer,d005,Development,1985-08-31,9999-01-01
11112,Boaz,Mukaidono,Staff,d009,Customer Service,1987-08-20,9999-01-01
11113,Shahab,Peng,Staff,d001,Marketing,1985-11-30,9999-01-01
11121,Vugranam,Kakkad,Senior Engineer,d005,Development,1987-02-21,9999-01-01
11133,Nalini,Azulay,Technique Leader,d006,Quality Management,1988-02-04,9999-01-01
11134,Sachar,Rajcani,Engineer,d006,Quality Management,1988-05-26,9999-01-01
11137,Hugh,Luca,Engineer,d005,Development,1986-07-31,9999-01-01
11139,Bogdan,Homond,Staff,d009,Customer Service,1985-12-24,9999-01-01
11146,Ishfaq,Masand,Staff,d007,Sales,1988-03-21,9999-01-01
11148,Zhanqiu,Botman,Staff,d003,Human Resources,1985-07-06,9999-01-01
11162,Kauko,Narlikar,Engineer,d005,Development,1985-03-28,9999-01-01
11180,Mitsuyuki,Bojadziev,Engineer,d005,Development,1986-06-11,9999-01-01
11197,Tadahiro,Fordan,Senior Staff,d007,Sales,1986-04-13,9999-01-01
11204,Diederik,Covnot,Technique Leader,d004,Production,1985-09-18,9999-01-01
11207,Saeed,Gips,Engineer,d005,Development,1987-11-09,9999-01-01
11208,Saniya,Valtorta,Technique Leader,d004,Production,1988-08-26,9999-01-01
11211,Yurij,Rissland,Senior Engineer,d004,Production,1985-09-17,9999-01-01
11217,Kellie,Mawatari,Senior Engineer,d004,Production,1987-09-22,9999-01-01
11232,Hidefumi,Crelier,Staff,d009,Customer Service,1988-02-02,9999-01-01
11240,Kiam,Condotta,Engineer,d005,Development,1988-11-11,9999-01-01
11249,Randi,Cyre,Engineer,d005,Development,1985-08-29,9999-01-01
11251,Bezalel,Chinal,Senior Staff,d001,Marketing,1985-11-26,9999-01-01
11268,Aimee,Petersohn,Senior Engineer,d004,Production,1985-05-17,9999-01-01
11275,Hitomi,Eppinger,Engineer,d005,Development,1987-05-26,9999-01-01
11290,Visit,Dredge,Engineer,d005,Development,1985-09-08,9999-01-01
11295,Abdelkader,Lanzelotte,Senior Staff,d002,Finance,1985-05-15,9999-01-01
11319,Pranas,Marrakchi,Assistant Engineer,d005,Development,1986-10-03,9999-01-01
11320,Atilio,McAlpine,Senior Staff,d001,Marketing,1987-11-24,9999-01-01
11322,Nathalie,Pocchiola,Assistant Engineer,d006,Quality Management,1985-02-08,9999-01-01
11324,Kauko,Billingsley,Senior Engineer,d004,Production,1985-08-29,9999-01-01
11338,Kwangsub,Hanratty,Senior Staff,d007,Sales,1987-04-14,9999-01-01
11339,Flemming,Massonet,Senior Engineer,d004,Production,1987-05-09,9999-01-01
11347,Anneli,Jonsson,Engineer,d005,Development,1986-04-20,9999-01-01
11365,Toshimi,Shinomoto,Engineer,d004,Production,1988-04-02,9999-01-01
11376,Valery,Suomi,Senior Staff,d008,Research,1986-03-14,9999-01-01
11380,Kenroku,Pelc,Senior Engineer,d005,Development,1988-03-03,9999-01-01
11385,Shiv,Ullian,Engineer,d004,Production,1988-05-22,9999-01-01
11386,Alselm,Assaf,Engineer,d006,Quality Management,1987-11-30,9999-01-01
11393,Junsik,Junot,Engineer,d004,Production,1985-04-30,9999-01-01
11398,Oscar,Peir,Staff,d002,Finance,1986-08-23,9999-01-01
11404,Bedrich,Borovoy,Technique Leader,d005,Development,1987-03-06,9999-01-01
11415,Sanjiv,Anido,Engineer,d004,Production,1987-03-03,9999-01-01
11421,Josyula,Msuda,Senior Engineer,d004,Production,1986-09-02,9999-01-01
11441,Marlo,Aingworth,Senior Staff,d007,Sales,1987-03-27,9999-01-01
11449,Kotesh,Asser,Senior Engineer,d004,Production,1986-08-27,9999-01-01
11459,Duke,Suomi,Senior Staff,d003,Human Resources,1986-05-03,9999-01-01
11469,Guttorm,Giaccio,Engineer,d004,Production,1988-05-23,9999-01-01
11506,Rance,Picel,Staff,d007,Sales,1986-07-01,9999-01-01
11509,Aleksander,Feldhoffer,Engineer,d005,Development,1987-11-12,9999-01-01
11513,Otmar,Mahnke,Staff,d002,Finance,1986-03-27,9999-01-01
11515,Ulf,Basawa,Staff,d007,Sales,1986-02-27,9999-01-01
11518,Jinxi,Oxman,Staff,d003,Human Resources,1985-07-03,9999-01-01
11524,Xiadong,Standera,Senior Engineer,d005,Development,1988-09-20,9999-01-01
11527,Alagu,Boyle,Staff,d001,Marketing,1988-07-03,9999-01-01
11528,Zito,Dolinsky,Technique Leader,d004,Production,1987-06-15,9999-01-01
11537,DAIDA,Pehl,Senior Staff,d007,Sales,1986-07-06,9999-01-01
11554,Subhash,Taubenfeld,Staff,d001,Marketing,1988-10-17,9999-01-01
11555,Kotesh,Perfilyeva,Staff,d003,Human Resources,1986-10-14,9999-01-01
11567,Teiji,Mitzlaff,Staff,d007,Sales,1988-02-03,9999-01-01
11568,Martins,Fujisaki,Senior Engineer,d005,Development,1987-07-28,9999-01-01
11603,Herb,Swen,Senior Staff,d002,Finance,1985-04-13,9999-01-01
11607,Tomokazu,Foong,Engineer,d004,Production,1987-09-12,9999-01-01
11615,Shem,Isaak,Staff,d007,Sales,1988-09-13,9999-01-01
11624,Adil,Gammage,Engineer,d004,Production,1988-04-05,9999-01-01
11628,Fan,Malinowski,Engineer,d008,Research,1988-10-23,9999-01-01
11640,Valeri,Coorg,Senior Engineer,d005,Development,1987-01-18,9999-01-01
11647,Magy,Nitsche,Engineer,d005,Development,1988-05-11,9999-01-01
11660,Gill,Stenning,Staff,d007,Sales,1986-11-22,9999-01-01
11673,Henk,Felder,Technique Leader,d004,Production,1988-10-13,9999-01-01
11676,Valeri,Ferriere,Engineer,d004,Production,1985-03-16,9999-01-01
11681,Fumitake,Benzmuller,Senior Engineer,d004,Production,1987-01-21,9999-01-01
11684,Oksana,Gide,Staff,d001,Marketing,1986-02-21,9999-01-01
11696,Dante,Rothe,Senior Staff,d007,Sales,1985-10-23,9999-01-01
11732,Sanjoy,Ranft,Senior Engineer,d009,Customer Service,1985-08-11,9999-01-01
11735,Amalendu,Picci,Senior Staff,d009,Customer Service,1988-07-14,9999-01-01
11746,Koichi,Marrakchi,Senior Staff,d007,Sales,1988-11-17,9999-01-01
11751,Jiafu,Emiris,Senior Staff,d008,Research,1988-11-03,9999-01-01
11764,Sanjay,Anick,Senior Engineer,d004,Production,1988-04-25,9999-01-01
11769,Chandrasekaran,Lampe,Senior Staff,d005,Development,1988-02-15,9999-01-01
11772,Gaurav,Penz,Engineer,d005,Development,1987-12-04,9999-01-01
11797,Chenxi,Thambidurai,Senior Staff,d001,Marketing,1988-08-30,9999-01-01
11810,Amabile,Bhattacharjee,Senior Engineer,d005,Development,1987-03-17,9999-01-01
11817,Niranjan,Markovitch,Staff,d007,Sales,1986-04-12,9999-01-01
11832,Arto,Zlotek,Engineer,d005,Development,1986-10-16,9999-01-01
11844,Shawna,Demeyer,Engineer,d005,Development,1988-01-27,9999-01-01
11853,Zeljko,Kusakabe,Senior Staff,d001,Marketing,1988-11-17,9999-01-01
11857,Divier,Farrag,Senior Staff,d007,Sales,1986-08-27,9999-01-01
11864,Pradeep,Kriebel,Staff,d009,Customer Service,1985-11-12,9999-01-01
11871,Nalini,Sommen,Senior Engineer,d005,Development,1988-01-23,9999-01-01
11872,Cheong,Riexinger,Senior Staff,d001,Marketing,1987-12-06,9999-01-01
11894,Mitchel,Validov,Senior Engineer,d005,Development,1988-06-22,9999-01-01
11897,Cordelia,Setlzner,Senior Staff,d007,Sales,1987-12-27,9999-01-01
11906,Hideo,Boguraev,Engineer,d005,Development,1987-03-30,9999-01-01
11915,Miomir,Mawatari,Senior Engineer,d004,Production,1987-08-29,9999-01-01
11931,Gunilla,Chiodo,Senior Staff,d008,Research,1988-10-03,9999-01-01
11933,Basil,Erman,Senior Engineer,d005,Development,1987-06-13,9999-01-01
11949,Martijn,Harbusch,Technique Leader,d004,Production,1985-03-11,9999-01-01
11983,Jaana,Hedayat,Engineer,d005,Development,1986-10-11,9999-01-01
11993,Marit,Dalphin,Senior Staff,d003,Human Resources,1986-06-25,9999-01-01
12011,Zhilian,Coorg,Staff,d007,Sales,1988-07-22,9999-01-01
12036,Mads,Ratzlaff,Staff,d007,Sales,1986-09-05,9999-01-01
12037,Arunas,Katzenelson,Staff,d009,Customer Service,1986-10-01,9999-01-01
12050,Yuchang,Tchuente,Engineer,d004,Production,1988-10-10,9999-01-01
12062,Margareta,Worfolk,Senior Staff,d003,Human Resources,1985-02-03,9999-01-01
12069,Ayonca,Burnard,Engineer,d005,Development,1985-05-13,9999-01-01
12070,Ger,Shokrollahi,Technique Leader,d005,Development,1988-11-14,9999-01-01
12076,Karlis,Siprelle,Senior Staff,d007,Sales,1985-03-25,9999-01-01
12082,Xinan,Yamaashi,Staff,d007,Sales,1986-01-29,9999-01-01
12089,Bilhanan,Socorro,Senior Staff,d003,Human Resources,1986-10-22,9999-01-01
12099,Nobuyoshi,Kuzuoka,Senior Staff,d007,Sales,1987-08-23,9999-01-01
12112,Satyanarayana,Avouris,Staff,d002,Finance,1986-05-24,9999-01-01
12122,Satoru,Krone,Engineer,d004,Production,1987-07-24,9999-01-01
12123,Xiahua,Syrzycki,Senior Staff,d008,Research,1987-07-18,9999-01-01
12125,Shounak,Erman,Engineer,d004,Production,1987-05-01,9999-01-01
12149,Suebskul,Grandbois,Senior Staff,d007,Sales,1988-10-01,9999-01-01
12159,Shem,Perly,Senior Engineer,d005,Development,1985-07-17,9999-01-01
12165,Xiaobin,Maquelin,Senior Engineer,d005,Development,1985-04-27,9999-01-01
12183,Harngdar,Iisaku,Engineer,d006,Quality Management,1987-09-19,9999-01-01
12192,Feiyu,Klyachko,Engineer,d006,Quality Management,1985-03-16,9999-01-01
12205,Sushant,Rossi,Senior Engineer,d005,Development,1986-04-14,9999-01-01
12206,Barton,Janetzko,Assistant Engineer,d005,Development,1985-03-27,9999-01-01
12218,Yaghout,Strooper,Engineer,d006,Quality Management,1985-02-18,9999-01-01
12221,Vincent,Melter,Senior Engineer,d005,Development,1985-09-16,9999-01-01
12222,Abdelwaheb,Holburn,Staff,d002,Finance,1986-09-01,9999-01-01
12223,Niteen,Koyama,Senior Engineer,d004,Production,1986-08-13,9999-01-01
12247,Subbu,Penttonen,Technique Leader,d005,Development,1985-04-09,9999-01-01
12249,Eldridge,Sadowski,Engineer,d005,Development,1987-02-28,9999-01-01
12256,Guadalupe,Reghbati,Senior Staff,d003,Human Resources,1985-08-26,9999-01-01
12264,Mart,Pagter,Engineer,d005,Development,1987-07-24,9999-01-01
12270,Shakhar,Kornyak,Staff,d008,Research,1988-01-04,9999-01-01
12272,Behnaam,Grandbois,Senior Staff,d003,Human Resources,1987-12-08,9999-01-01
12308,Mototsugu,Cronau,Senior Staff,d003,Human Resources,1985-08-11,9999-01-01
12311,Susanne,Lubachevsky,Senior Engineer,d005,Development,1985-10-22,9999-01-01
12327,DAIDA,Bruckman,Senior Engineer,d005,Development,1986-10-16,9999-01-01
12341,Rasiah,Luga,Senior Engineer,d005,Development,1985-05-25,9999-01-01
12343,Sorina,Slaats,Senior Staff,d004,Production,1988-08-25,9999-01-01
12365,Kamakshi,Bisiani,Engineer,d004,Production,1985-04-07,9999-01-01
12373,Mooi,Driscoll,Senior Staff,d007,Sales,1985-03-22,9999-01-01
12395,Sanjit,Felder,Senior Staff,d002,Finance,1988-02-04,9999-01-01
12399,Mihalis,Luga,Senior Staff,d007,Sales,1987-12-07,9999-01-01
12411,Shao,Ibel,Senior Staff,d007,Sales,1986-08-17,9999-01-01
12413,Hugh,Gadepally,Engineer,d004,Production,1988-05-04,9999-01-01
12417,Dannz,Spelt,Senior Engineer,d004,Production,1988-07-05,9999-01-01
12422,Berhard,Demos,Staff,d003,Human Resources,1985-07-20,9999-01-01
12454,Kerryn,Farris,Staff,d007,Sales,1986-09-10,9999-01-01
12464,Shai,Milicic,Staff,d007,Sales,1986-08-18,9999-01-01
12475,Filipe,Roison,Senior Engineer,d005,Development,1987-04-26,9999-01-01
12487,Mona,Reghbati,Senior Staff,d002,Finance,1987-10-04,9999-01-01
12489,Arnould,Munck,Senior Engineer,d005,Development,1986-04-11,9999-01-01
12490,Jackson,Muchinsky,Senior Engineer,d005,Development,1988-05-16,9999-01-01
12497,Stein,Penz,Staff,d007,Sales,1985-04-05,9999-01-01
12501,Morrie,Matheson,Senior Staff,d002,Finance,1986-06-05,9999-01-01
12504,Adly,Rosaz,Engineer,d004,Production,1987-04-17,9999-01-01
12514,Tomofumi,Melter,Engineer,d005,Development,1985-12-03,9999-01-01
12528,Conor,Cincotta,Staff,d009,Customer Service,1988-09-24,9999-01-01
12534,Yongmao,Gerlach,Senior Engineer,d004,Production,1985-08-14,9999-01-01
12541,Shih,Nanard,Senior Staff,d007,Sales,1988-08-31,9999-01-01
12542,Kazuhide,Bouloucos,Staff,d003,Human Resources,1987-09-12,9999-01-01
12551,Jeane,Tzvieli,Engineer,d004,Production,1987-12-04,9999-01-01
12553,Aral,Vesna,Senior Staff,d003,Human Resources,1987-02-28,9999-01-01
12557,Stafford,Kopetz,Senior Engineer,d004,Production,1988-03-20,9999-01-01
12589,Anoosh,Chleq,Engineer,d005,Development,1988-09-08,9999-01-01
12596,Breannda,Roisin,Senior Staff,d003,Human Resources,1986-04-25,9999-01-01
12601,Ghassan,Simkin,Senior Engineer,d005,Development,1988-12-17,9999-01-01
12608,Nectarios,Mondadori,Staff,d003,Human Resources,1985-06-23,9999-01-01
12635,Xinyu,Restivo,Senior Engineer,d009,Customer Service,1985-11-27,9999-01-01
12638,Yuqun,Seiwald,Engineer,d005,Development,1986-07-01,9999-01-01
12642,Suebskul,Gips,Senior Staff,d001,Marketing,1987-05-24,9999-01-01
12651,Pragnesh,Bael,Senior Staff,d007,Sales,1988-01-27,9999-01-01
12662,Leucio,Alvarado,Engineer,d005,Development,1985-08-27,9999-01-01
12663,Nobuyoshi,Stellhorn,Technique Leader,d005,Development,1986-09-29,9999-01-01
12664,Zhonghua,Parveen,Staff,d009,Customer Service,1987-08-19,9999-01-01
12689,Luerbio,Boudaillier,Senior Engineer,d005,Development,1987-04-12,9999-01-01
12691,Oddvar,Gils,Senior Engineer,d004,Production,1987-11-21,9999-01-01
12697,Uri,Brizzi,Staff,d003,Human Resources,1986-07-11,9999-01-01
12709,Ronghao,Botman,Engineer,d005,Development,1985-12-02,9999-01-01
12717,Tzu,Jiafu,Staff,d008,Research,1988-05-16,9999-01-01
12722,Elliott,Cheshire,Senior Staff,d002,Finance,1985-03-29,9999-01-01
12726,Fumitake,Panwar,Senior Engineer,d005,Development,1988-09-04,9999-01-01
12729,Nahla,Rahier,Senior Engineer,d009,Customer Service,1987-08-25,9999-01-01
12731,Yongmao,Waymire,Senior Staff,d003,Human Resources,1988-04-05,9999-01-01
12732,Mara,Takanami,Senior Staff,d007,Sales,1988-04-06,9999-01-01
12734,Gil,Frijda,Senior Engineer,d005,Development,1986-03-03,9999-01-01
12755,Rildo,Rodite,Senior Staff,d003,Human Resources,1987-03-18,9999-01-01
12773,Jenwei,Lovengreen,Senior Engineer,d005,Development,1985-03-05,9999-01-01
12790,Gunilla,Perl,Senior Staff,d007,Sales,1986-04-22,9999-01-01
12795,Masoud,Fordan,Staff,d002,Finance,1986-10-11,9999-01-01
12798,Lillian,Beeson,Senior Staff,d007,Sales,1987-12-27,9999-01-01
12803,Gad,Boissier,Staff,d001,Marketing,1985-03-16,9999-01-01
12815,Sushant,Junot,Senior Staff,d008,Research,1985-02-27,9999-01-01
12819,Mountaz,Gubsky,Engineer,d004,Production,1986-11-30,9999-01-01
12848,Kazuhide,Smeets,Engineer,d005,Development,1987-06-14,9999-01-01
12863,Leif,Matheson,Senior Engineer,d004,Production,1985-09-06,9999-01-01
12872,Marl,Schmittgen,Senior Staff,d007,Sales,1986-09-09,9999-01-01
12879,Baruch,Eugenio,Engineer,d005,Development,1986-05-14,9999-01-01
12890,Neven,Casley,Senior Staff,d007,Sales,1985-10-31,9999-01-01
12893,Licheng,Crouzet,Senior Staff,d007,Sales,1987-03-18,9999-01-01
12895,Roddy,Serot,Senior Engineer,d004,Production,1988-05-25,9999-01-01
12905,Munehiro,Gecsei,Senior Engineer,d005,Development,1987-07-19,9999-01-01
12926,Heekeun,Luby,Senior Staff,d008,Research,1985-12-24,9999-01-01
12940,Odinaldo,Farrar,Engineer,d005,Development,1987-12-12,9999-01-01
12941,Tommaso,Perelgut,Senior Engineer,d005,Development,1986-11-06,9999-01-01
12949,Geoff,Asrin,Engineer,d005,Development,1987-02-12,9999-01-01
12977,Byong,Markovitch,Engineer,d005,Development,1987-08-24,9999-01-01
12983,Elliott,Hambrick,Staff,d002,Finance,1985-12-01,9999-01-01
13030,Yahiko,Kroll,Staff,d001,Marketing,1987-07-02,9999-01-01
13046,Vivian,Stafford,Senior Staff,d002,Finance,1987-04-19,9999-01-01
13047,Atilio,Chelton,Senior Engineer,d005,Development,1987-01-04,9999-01-01
13075,Rosella,Morrin,Staff,d001,Marketing,1986-08-17,9999-01-01
13076,Deniz,Skafidas,Engineer,d005,Development,1988-06-14,9999-01-01
13096,Ibibia,Armand,Engineer,d006,Quality Management,1988-10-25,9999-01-01
13103,Srinidhi,Ellozy,Senior Engineer,d005,Development,1988-06-19,9999-01-01
13124,Quingbo,Garnick,Senior Staff,d007,Sales,1985-03-17,9999-01-01
13133,Guther,Senzako,Staff,d009,Customer Service,1985-09-03,9999-01-01
13134,Lorien,Chepyzhov,Senior Engineer,d004,Production,1987-08-29,9999-01-01
13144,Persi,Nollmann,Senior Staff,d002,Finance,1987-10-16,9999-01-01
13146,Haldon,Erie,Senior Staff,d007,Sales,1985-05-25,9999-01-01
13147,Shichao,Ginesta,Staff,d007,Sales,1985-12-16,9999-01-01
13156,Akeel,Millington,Senior Engineer,d005,Development,1986-12-29,9999-01-01
13165,Lucian,Benner,Senior Engineer,d006,Quality Management,1988-03-16,9999-01-01
13168,Munir,Stentiford,Senior Engineer,d004,Production,1987-09-11,9999-01-01
13170,Cheong,Bernardeschi,Staff,d003,Human Resources,1986-05-07,9999-01-01
13171,Anoosh,Birnbaum,Senior Engineer,d006,Quality Management,1987-08-31,9999-01-01
13173,Arve,Horswill,Staff,d007,Sales,1987-09-24,9999-01-01
13179,Moty,Janocha,Staff,d007,Sales,1987-04-16,9999-01-01
13182,Kokou,Rodite,Engineer,d004,Production,1985-08-27,9999-01-01
13186,Kyoichi,Barbanera,Staff,d007,Sales,1986-04-29,9999-01-01
13192,Rosita,Flowers,Technique Leader,d004,Production,1988-11-10,9999-01-01
13202,Aram,Scharstein,Staff,d008,Research,1986-03-29,9999-01-01
